E1,px1,py1,pz1,pt1,eta1,phi1,E2,px2,py2,pz2,pt2,eta2,phi2,M,Rapidity,Pt,R(phi),Teta(phi)
42.2877,17.6286,37.9225,6.27366,41.8196,0.14945999999999998,1.13565,43.2511,-18.0261,-38.7869,-6.42546,42.771,-0.14967,-2.00585,85.5334,-0.0017746351288076198,0.9514166332369887,2.3050238925009,-1.0556241363278165
58.728,54.5786,5.0355,21.0899,54.8104,0.375867,0.092001,37.0339,-33.4618,9.989310000000001,12.3295,34.9211,0.346115,2.85149,85.9175,0.36428673391654554,25.91648428657136,2.8529737825821324,1.538543330549496
41.8567,41.84,1.04193,-0.54359,41.853,-0.012987700000000001,0.0248976,49.3358,-43.2443,0.515316,23.7419,43.2474,0.5245850000000001,3.12968,88.1675,0.2600992416008666,2.0969200257797143,3.129779032597311,1.5628411764959023
266.776,10.852,-69.7698,-257.262,70.6087,-2.00441,-1.41649,67.9917,-10.9026,25.3475,-62.14100000000001,27.5928,-1.551,1.9769999999999999,89.876,-1.8756478280384745,44.42232881839943,2.432071734159994,2.19250029984919
101.766,1.73921,-89.0261,49.272,89.04299999999998,0.528414,-1.55126,52.4581,46.8333,-0.230442,23.6311,46.8338,0.48529799999999995,-0.00492044,90.2459,0.5135529635915467,101.61702129809683,1.5512678035496623,-3.1384207652547125
139.436,-29.8693,33.2275,-132.084,44.6793,-1.80453,2.30302,109.711,30.1843,-29.1645,-101.36399999999999,41.9721,-1.61521,-0.768217,86.9444,-1.7127903882660216,4.075192510790133,2.4277682095885926,-0.3219629995090776
43.1542,-10.0878,-41.8812,-2.5455900000000002,43.07899999999999,-0.059056899999999996,-1.8071599999999999,42.065,9.84859,40.8208,2.47335,41.9921,0.058866499999999995,1.33406,85.2123,-0.0008476964968415528,1.087046265850724,2.2462286947681886,2.5056812277664346
97.2834,22.5075,-21.7657,92.1071,31.3103,1.7998599999999998,-0.7686430000000001,28.8091,-28.631,-0.973087,-3.04515,28.6476,-0.106098,-3.1076200000000003,86.0973,0.879806447338853,23.54887866717583,3.2012675811073654,-1.8132711924391063
177.261,-116.44,-83.0924,104.685,143.048,0.678537,-2.52179,21.4353,-9.79531,18.8522,2.8474,21.2451,0.133628,2.04999,88.6283,0.6058366115177426,141.640943186764,3.249905199263511,2.459028779787174
49.1952,10.4069,-48.0816,0.0916393,49.195,0.00186278,-1.35764,44.1033,-9.709,42.5293,-6.48735,43.6235,-0.14817,1.7952400000000002,92.9106,-0.06865873925521075,5.59598960863939,2.2507938659948405,2.218281818104866
94.0989,24.9869,-14.14,-89.61200000000002,28.7104,-1.8561,-0.514967,33.5334,-33.4517,2.2731,0.5422020000000001,33.5288,0.0161705,3.07375,90.2447,-0.8631216182767166,14.57656182541,3.1165894939162264,1.7367917416013787
70.3102,-3.0721700000000003,41.8444,-56.4191,41.9571,-1.10541,1.64408,112.681,3.90551,-43.2338,-103.98299999999999,43.4098,-1.60766,-1.48071,88.0575,-1.3607044742248142,1.6201505842359236,2.2125779422429392,-0.7331638078477531
46.9072,12.3979,44.6169,-7.47635,46.3074,-0.16075699999999998,1.29976,46.8821,-12.3988,-44.5935,7.45741,46.2851,0.16043,-1.8419900000000002,93.7893,-0.00020194201532012517,0.02341730129626613,2.2543964198206137,-0.9563030580687356
45.1947,22.3794,-33.7759,-20.0225,40.5172,-0.475994,-0.985625,45.0986,-22.3205,33.6696,20.0505,40.3961,0.477941,2.1562099999999997,90.2932,0.00031010053788600023,0.12152736317389429,2.3708011735961745,1.9995471175883865
47.8715,43.8068,-15.3865,11.6571,46.4304,0.2485010000000001,-0.337775,48.0278,-43.9435,15.433,-11.7238,46.5748,-0.249135,2.80385,95.8991,-0.0006955213516195671,0.1443923128147733,2.8241223013752434,1.690686864314478
46.8705,-24.5573,-39.2933,-7.05749,46.3359,-0.151729,-2.12938,47.4423,24.8189,39.7622,7.33149,46.8723,0.155783,1.01278,94.3109,0.002905234187598339,0.5369373985857168,2.3579615163950405,2.6976369335263732
42.4065,0.8817870000000001,41.7107,-7.59892,41.72,-0.181149,1.54966,43.4603,-0.9094409999999999,-42.7499,7.7719,42.7596,0.18077200000000002,-1.59207,85.8603,0.0020145182305683646,1.0395678831687651,2.221740984115835,-0.7988962756737065
45.0042,-17.9618,35.8976,20.3496,40.1405,0.4874270000000001,2.0347299999999997,44.7829,17.8531,-35.7369,-20.2395,39.9483,-0.487145,-1.1074899999999999,89.7868,0.001226234672731416,0.19401077289676283,2.3166053338883597,-0.49845134772085525
32.7887,-28.7745,-15.5549,2.2713799999999997,32.7098,0.0693846,-2.64601,60.3164,46.9651,30.039,23.0215,55.75,0.402024,0.5690310000000001,86.5341,0.27865462339978053,23.252679010600048,2.7065042396162986,2.9297663373697524
88.3277,-31.9045,-4.5317300000000005,-82.2395,32.2247,-1.6664,-3.0005,40.5343,38.9613,8.7464,-6.9664600000000005,39.931,-0.17358900000000002,0.22082800000000002,92.62899999999999,-0.8522817439670999,8.21960275493287,3.008615172398092,3.068128036447366
125.321,47.3356,-25.8133,-113.13,53.9165,-1.4867299999999999,-0.499246,84.1162,-36.3033,14.2205,-74.5344,38.9891,-1.4034200000000001,2.76825,91.5969,-1.4517653415007885,16.00327013863104,2.812908571392963,1.7492255006939643
75.6239,-21.9867,-15.2874,70.7237,26.7791,1.6983599999999999,-2.53402,33.0961,19.0777,20.144000000000002,-18.0444,27.7442,-0.611548,0.812578,94.9362,0.5289016031535214,5.661169893228785,2.661116375975316,2.831284278634608
56.6599,-25.2454,24.0072,44.684,34.8378,1.06781,2.3813299999999997,41.115,33.8236,-22.4088,-6.65105,40.5733,-0.163201,-0.585125,89.6509,0.4106032826744358,8.725846537729161,2.4521630929701637,-0.24094028716602958
50.8673,10.3588,-33.4773,36.8704,35.0434,0.9177639999999999,-1.27071,44.4965,-8.86635,42.4568,-9.936639999999999,43.3727,-0.22714099999999998,1.77667,91.0272,0.2903225910253064,9.10268242072083,2.1843214491003837,2.191664218850165
132.468,-16.8652,25.246,128.942,30.3611,2.15293,2.15975,36.1859,21.8111,-25.2809,13.9487,33.3893,0.40647300000000003,-0.8589450000000001,89.4542,1.2462976945125563,4.946023131769602,2.324286250771406,-0.3785270146281146
111.105,11.2599,-46.0517,100.48299999999999,47.4083,1.49584,-1.33099,80.9794,-19.3561,42.3922,66.2261,46.6021,1.15018,1.99912,95.0035,1.3244853770631764,8.88484072395223,2.4016692433597093,2.158190339000704
93.7331,-28.5839,33.2258,82.8547,43.8292,1.39352,2.28124,44.8491,-9.758410000000001,-41.1659,14.8854,42.3067,0.344963,-1.80355,90.104,0.877741569575465,39.155815968334764,2.908066116872173,-0.6689833422080651
