E1,pt1,eta1,phi1,E2,pt2,eta2,phi2,Rapidity,Pt,Class
229.493,42.1665,2.3788,2.1917,42.9347,31.9132,0.8089,2.1917,1.6848,20.9543,1
85.7355,51.1015,-1.1069,-2.7159,89.5984,43.9621,-1.3387,-2.7159,-1.2141,19.4955,1
70.8779,41.2494,1.1364,-2.4801,44.7937,38.1587,-0.5815,-2.4801,0.3046,19.3432,1
57.9043,51.1713,0.5075,-1.7159,43.0629,40.8916,0.3245,-1.7159,0.4262,11.2886,1
89.5617,43.7131,-1.3447,2.1532,187.0295,35.0815,-2.3578,2.1532,-1.8,9.7579,1
109.9265,53.9305,-1.3388,0.0169,128.096,37.166,-1.9088,0.0169,-1.5727,32.5762,1
109.7801,50.848,1.4042,-2.9988,46.0823,39.6853,0.5604,-2.9988,1.0315,37.5725,1
85.7214,29.8917,-1.7148,0.6923,29.0913,28.2875,0.2378,0.6923,-0.7592,2.2387,1
59.328,47.1068,0.7056,0.7037,39.6541,39.3951,0.1146,0.7037,0.4357,8.7121,1
142.0302,44.4741,1.8288,3.0923,126.4576,44.0255,1.7165,3.0923,1.7729,8.1158,1
47.0719,39.8507,-0.5933,-3.0308,45.0362,30.8262,0.9267,-3.0308,0.0847,18.1719,1
74.5906,49.6799,-0.9637,1.5047,80.2878,42.0541,-1.2628,1.5047,-1.1009,11.5569,1
54.7461,52.9874,-0.2569,1.3919,44.7536,20.9591,1.3918,1.3919,0.2651,39.5438,1
58.5123,45.6155,-0.7353,0.1311,93.941,38.1619,-1.5499,0.1311,-1.1082,18.3646,1
86.0237,56.2434,-0.9883,-2.3021,29.1423,23.3467,0.6908,-2.3021,-0.4401,54.1309,1
179.1043,44.8291,2.0622,-1.1154,90.1257,41.4888,1.4112,-1.1154,1.7489,5.5238,1
32.7251,32.4644,-0.1266,2.4611,113.9964,30.525,-1.9923,2.4611,-1.037,1.9534,1
109.7028,50.6998,-1.4067,-1.6976,96.6116,40.8177,-1.5068,-1.6976,-1.4514,22.4553,1
45.9134,31.9081,0.9057,0.2315,116.9374,31.1232,1.9986,0.2315,1.4459,2.9372,1
43.2904,33.6906,0.738,2.4295,46.5644,32.4296,-0.9027,2.4295,-0.0695,9.5883,1
85.6671,37.0033,-1.4823,0.5752,27.0264,24.8023,0.4204,0.5752,-0.6782,12.325,1
78.6848,44.2073,-1.1794,-2.6039,73.4235,42.3966,-1.1461,-2.6039,-1.1631,5.1201,1
61.235,45.3384,0.8147,1.7582,54.9874,43.8074,0.7,1.7582,0.7583,4.5997,1
218.5724,54.0869,2.074,-2.427,124.0152,38.1963,1.8462,-2.427,1.9796,19.5388,1
87.5957,31.1528,1.6937,-3.1065,30.0939,29.9027,-0.113,-3.1065,0.8051,5.2389,1
170.7983,43.0036,2.0561,-0.1953,69.6699,40.549,1.1363,-0.1953,1.6089,5.1284,1
51.4596,41.049,-0.6979,0.6911,121.3158,40.2497,-1.7677,0.6911,-1.228,9.2343,1
40.7347,40.2808,0.15,-2.2674,69.9737,33.2493,1.3753,-2.2674,0.7104,9.5347,1
44.6366,32.7857,0.8265,-0.8668,47.4184,31.6876,-0.9592,-0.8668,-0.0542,2.988,1
49.9964,30.667,-1.0709,-0.9713,40.3659,25.4474,1.0359,-0.9713,-0.0905,11.8654,1
39.7048,39.4292,-0.1182,-0.1971,63.9363,37.4986,1.1269,-0.1971,0.4905,2.5812,1
223.2445,47.5944,2.2271,0.8782,79.706,39.3932,1.3303,0.8782,1.8184,8.9037,1
30.69,22.6864,0.8171,-1.4341,69.5772,20.5272,-1.8913,-1.4341,-0.4934,5.7799,1
45.2753,43.8775,-0.2517,-2.897,48.7783,40.9823,0.6074,-2.897,0.164,4.0856,1
66.6347,66.2965,-0.101,-0.8905,35.2457,24.2028,0.9222,-0.8905,0.1879,42.4184,1
78.7923,70.7817,0.4714,-2.3608,33.3222,32.9253,0.1551,-2.3608,0.3706,48.9396,1
221.3692,103.0373,1.3987,2.6264,40.4989,21.6193,1.2405,2.6264,1.3712,86.8077,1
86.3522,46.4431,1.2316,1.4166,118.5563,44.0944,1.6457,1.4166,1.4334,9.535,1
80.551,45.2599,1.1793,-2.1937,34.4511,34.4471,0.0153,-2.1937,0.6685,18.0016,1
58.3868,58.1512,0.09,2.7862,36.516,35.2933,-0.2625,2.7862,-0.0436,22.8665,1
95.1591,42.0309,1.4575,-2.2912,23.8092,23.4373,-0.1779,-2.2912,0.8336,29.7782,1
84.6758,66.3678,0.7267,-0.9121,103.18,25.5622,2.0728,-0.9121,1.133,58.6867,1
92.1522,61.2725,0.966,0.2055,173.577,45.1355,2.0228,0.2055,1.4208,16.1525,1
35.5302,34.4961,0.2442,-0.3613,69.4788,27.2611,-1.5878,-0.3613,-0.5867,7.3573,1
237.5548,45.4971,-2.3366,2.0324,59.2648,35.3433,-1.1062,2.0324,-1.7903,10.2805,1
43.6719,40.7155,-0.3788,1.3365,45.8191,40.5014,0.507,1.3365,0.063,2.1437,1
74.7149,30.9918,-1.527,0.1047,29.6774,26.2592,0.5049,0.1047,-0.5747,15.3697,1
120.9827,62.7274,1.2748,0.1158,67.2443,42.7283,1.0257,0.1158,1.1737,57.0138,1
122.2351,41.6508,1.7394,0.5707,31.1082,28.9014,-0.3883,0.5707,0.8187,35.7638,1
81.8117,58.2698,-0.8711,-0.5916,33.2909,30.886,-0.3921,-0.5916,-0.7039,30.5726,1
244.2378,44.3728,-2.3903,-2.3456,206.2635,43.1751,-2.2459,-2.3456,-2.3191,17.2145,1
157.4976,38.8463,2.0774,-1.206,105.7033,29.6556,1.9438,-1.206,2.0196,9.8654,1
90.9083,46.8994,1.2806,2.0972,187.5367,35.9012,2.3371,2.0972,1.7445,13.4211,1
43.9687,37.5373,0.5773,-2.6793,53.1606,33.4949,-1.0366,-2.6793,-0.1916,7.0123,1
120.632,32.0431,-2.0007,-1.6766,22.7193,22.275,0.1994,-1.6766,-1.0456,9.7766,1
106.804,50.067,-1.3907,0.8973,114.368,49.0365,-1.4905,0.8973,-1.4401,41.9281,1
64.8886,32.6499,-1.3097,2.6848,35.1645,28.8917,0.6476,2.6848,-0.377,8.5108,1
49.994,48.5678,0.2418,1.0348,40.7081,38.9772,0.2969,1.0348,0.2663,11.4027,1
61.3894,56.5121,-0.4125,0.6131,35.3985,21.9958,1.0544,0.6131,0.0388,40.8912,1
139.6958,43.2763,1.8401,-0.5518,115.2277,43.2473,1.6359,-0.5518,1.738,4.2207,1
151.1889,47.2731,1.8303,-2.4561,154.3194,44.7817,1.9086,-2.4561,1.8684,12.9889,1
42.2824,41.3887,0.2074,2.1177,52.5896,38.8144,-0.8194,2.1177,-0.2908,6.2056,1
50.6618,32.9392,0.9957,-0.1924,40.8029,30.9431,-0.7785,-0.1924,0.1308,2.8076,1
151.4675,34.6949,2.1535,-2.2759,38.8637,34.2416,0.5139,-2.2759,1.3382,5.5861,1
97.9227,44.9246,1.415,1.7862,72.2562,42.9279,1.1109,1.7862,1.2664,2.7162,1
95.7793,37.1704,1.5997,1.7887,39.2987,34.9289,0.4951,1.7887,1.063,12.3264,1
166.1393,87.4961,1.2565,-0.6293,58.974,24.9646,1.5046,-0.6293,1.3118,65.2173,1
239.9517,47.0352,-2.3129,-2.0838,185.6041,44.2886,-2.1115,-2.0838,-2.2152,11.696,1
176.2609,52.5773,-1.8798,2.6184,21.0526,21.0478,0.0212,2.6184,-1.2575,31.5407,1
