E1,px1,py1,pz1,E2,px2,py2,pz2,Class
229.493,-24.5323,34.2955,225.5859,42.9347,28.7859,-13.7775,28.7218,1
85.7355,-46.5408,-21.1027,-68.8419,89.5984,43.9259,1.7834,-78.0718,1
70.8779,-32.5498,-25.3381,57.6383,44.7937,15.6738,34.7911,-23.4603,1
57.9043,-7.3993,-50.6335,27.1,43.0629,1.7613,40.8536,13.5017,1
89.5617,-24.0441,36.5064,-78.1695,187.0295,22.5653,-26.8611,-183.7098,1
109.9265,53.9227,0.9135,-95.788,128.096,-30.3018,21.52,-122.5857,1
109.7801,-50.3301,-7.2382,97.2942,46.0823,30.8902,-24.9142,23.4234,1
85.7214,23.01,19.0802,-80.3409,29.0913,-20.7745,-19.199,6.7913,1
59.328,35.9174,30.4794,36.066,39.6541,-32.3003,-22.5537,4.5241,1
142.0302,-44.4201,2.1904,134.8875,126.4576,42.8393,-10.1507,118.5466,1
47.0719,-39.6062,-4.4081,-25.0536,45.0362,26.0397,16.4981,32.8329,1
74.5906,3.2814,49.5714,-55.6387,80.2878,5.2085,-41.7303,-68.3928,1
54.7461,9.4282,52.1418,-13.7648,44.7536,-16.2829,-13.1967,39.5424,1
58.5123,45.2238,5.9651,-36.6458,93.941,-36.7394,10.3221,-85.8405,1
86.0237,-37.5618,-41.8621,-65.0904,29.1423,21.217,-9.7422,17.4414,1
179.1043,19.7153,-40.2611,173.4033,90.1257,-21.9475,35.2084,80.0082,1
32.7251,-25.2334,20.4258,-4.1224,113.9964,23.5831,-19.3807,-109.8335,1
109.7028,-6.4142,-50.2925,-97.2843,96.6116,22.1574,34.2802,-87.5655,1
45.9134,31.0568,7.3213,33.0138,116.9374,-29.5299,-9.8305,112.7195,1
43.2904,-25.5031,22.0148,27.1845,46.5644,29.5639,-13.3288,-33.415,1
85.6671,31.048,20.1312,-77.2632,27.0264,-19.9996,-14.6687,10.7365,1
78.6848,-37.9702,-22.6396,-65.0923,73.4235,33.7939,25.6017,-59.9461,1
61.235,-8.4475,44.5445,41.16,54.9874,12.3075,-42.043,33.2343,1
218.5724,-40.8556,-35.443,211.7746,124.0152,34.1613,17.0868,117.9865,1
87.5957,-31.1336,-1.0934,81.8688,30.0939,29.6434,-3.929,-3.387,1
