E1,px1,py1,pz1,pt1,eta1,phi1,E2,px2,py2,pz2,pt2,eta2,phi2,M,Class
229.493,-24.5323,34.2955,225.5859,42.1665,2.3788,2.1917,42.9347,28.7859,-13.7775,28.7218,31.9132,0.8089,2.1917,95.4221,1
85.7355,-46.5408,-21.1027,-68.8419,51.1015,-1.1069,-2.7159,89.5984,43.9259,1.7834,-78.0718,43.9621,-1.3387,-2.7159,93.6924,1
70.8779,-32.5498,-25.3381,57.6383,41.2494,1.1364,-2.4801,44.7937,15.6738,34.7911,-23.4603,38.1587,-0.5815,-2.4801,108.8009,1
57.9043,-7.3993,-50.6335,27.1,51.1713,0.5075,-1.7159,43.0629,1.7613,40.8536,13.5017,40.8916,0.3245,-1.7159,91.7522,1
89.5617,-24.0441,36.5064,-78.1695,43.7131,-1.3447,2.1532,187.0295,22.5653,-26.8611,-183.7098,35.0815,-2.3578,2.1532,88.4685,1
109.9265,53.9227,0.9135,-95.788,53.9305,-1.3388,0.0169,128.096,-30.3018,21.52,-122.5857,37.166,-1.9088,0.0169,88.9179,1
109.7801,-50.3301,-7.2382,97.2942,50.848,1.4042,-2.9988,46.0823,30.8902,-24.9142,23.4234,39.6853,0.5604,-2.9988,91.1519,1
85.7214,23.01,19.0802,-80.3409,29.8917,-1.7148,0.6923,29.0913,-20.7745,-19.199,6.7913,28.2875,0.2378,0.6923,88.133,1
59.328,35.9174,30.4794,36.066,47.1068,0.7056,0.7037,39.6541,-32.3003,-22.5537,4.5241,39.3951,0.1146,0.7037,89.8554,1
142.0302,-44.4201,2.1904,134.8875,44.4741,1.8288,3.0923,126.4576,42.8393,-10.1507,118.5466,44.0255,1.7165,3.0923,88.2668,1
47.0719,-39.6062,-4.4081,-25.0536,39.8507,-0.5933,-3.0308,45.0362,26.0397,16.4981,32.8329,30.8262,0.9267,-3.0308,89.962,1
74.5906,3.2814,49.5714,-55.6387,49.6799,-0.9637,1.5047,80.2878,5.2085,-41.7303,-68.3928,42.0541,-1.2628,1.5047,92.0322,1
54.7461,9.4282,52.1418,-13.7648,52.9874,-0.2569,1.3919,44.7536,-16.2829,-13.1967,39.5424,20.9591,1.3918,1.3919,87.5899,1
58.5123,45.2238,5.9651,-36.6458,45.6155,-0.7353,0.1311,93.941,-36.7394,10.3221,-85.8405,38.1619,-1.5499,0.1311,88.8925,1
86.0237,-37.5618,-41.8621,-65.0904,56.2434,-0.9883,-2.3021,29.1423,21.217,-9.7422,17.4414,23.3467,0.6908,-2.3021,89.7921,1
179.1043,19.7153,-40.2611,173.4033,44.8291,2.0622,-1.1154,90.1257,-21.9475,35.2084,80.0082,41.4888,1.4112,-1.1154,90.7572,1
32.7251,-25.2334,20.4258,-4.1224,32.4644,-0.1266,2.4611,113.9964,23.5831,-19.3807,-109.8335,30.525,-1.9923,2.4611,92.3982,1
109.7028,-6.4142,-50.2925,-97.2843,50.6998,-1.4067,-1.6976,96.6116,22.1574,34.2802,-87.5655,40.8177,-1.5068,-1.6976,88.8366,1
